Производитель,Серия,Поколение,Модель,Количество ядер,Количество потоков,Тактовая частота ядер,Производительность
Intel,Core i9,12,12900K,16,24,3300,23000
AMD,Ryzen 9,5,5950X,16,32,3400,22000
Intel,Core i7,11,11700K,8,16,3700,18000
AMD,Ryzen 7,5,5800X,8,16,3800,17000
Intel,Core i5,13,13400,10,16,2500,15000
AMD,Ryzen 5,3,3600,6,12,3600,12000
Intel,Core i3,10,10100,4,8,3600,8000
AMD,Ryzen 3,4,3100,4,8,3600,6000
Intel,Pentium,,Gold G6400,2,4,4000,3000
AMD,Athlon,,3000G,2,4,3500,2000
Intel,Core i9,12,12900KS,16,24,5300,25000
AMD,Ryzen 9,5,5900X,12,24,3700,21000
Intel,Core i7,11,11900K,8,16,5300,19000
AMD,Ryzen 7,5,5800H,8,16,3200,17500
Intel,Core i5,13,12600K,10,16,4100,16000
AMD,Ryzen 5,4,5600X,6,12,3700,13500
Intel,Core i3,12,12100,6,12,3900,9000
AMD,Ryzen 3,3,3300X,4,8,3800,7000
Intel,Pentium,,Gold G6600,2,4,4300,3200
AMD,Athlon,,300GE,2,4,3400,2100
Intel,Xeon,,E-2278G,8,16,3000,18500
AMD,Threadripper Pro,,5000WX,64,128,4000,48000
Intel,Xeon Platinum,,8380,40,80,2700,35000
AMD,Epyc,,7763,64,128,3700,55000
Intel,Xeon Scalable,,Platinum 8352S,32,64,3200,28000
AMD,Ryzen Threadripper,,3990X,64,128,2900,45000
Intel,Core i9,10,10980XE,18,36,3000,25000
AMD,Ryzen 9,5,5950HS,8,16,3300,20000
Intel,Core i7,8,8700K,6,12,3700,14000
AMD,Ryzen 7,4,4700G,8,16,3600,16000
Intel,Core i5,9,9600KF,6,6,3700,13000
AMD,Ryzen 5,3,3400G,4,8,3700,8000
Intel,Core i3,8,8100,4,4,3600,6000
AMD,Athlon,,200GE,2,4,3200,2000
Intel,Pentium,,Gold G5600,2,4,3900,3000
AMD,Ryzen 3,3,3200G,4,4,3600,5000
Intel,Celeron,,G5900,2,2,3400,1500
AMD,Athlon,,3000U,2,4,2400,1800
Intel,Pentium,,Silver J5040,4,4,2800,2500
AMD,Athlon,,300U,2,4,2400,1500
Intel,Celeron,,G4930,2,2,3200,1200
AMD,Athlon,,240GE,2,4,3500,1800
Intel,Pentium,,Silver J5005,4,4,2800,2500
AMD,Athlon,,220GE,2,4,3400,1500
Intel,Celeron,,G5905,2,2,3800,1200
Intel,Celeron,,G4930T,2,2,2900,1000
Intel,Pentium,,Gold G5420,2,4,3800,2800
Intel,Celeron,,G5920,2,2,3700,1200
Intel,Core i9,12,12900KF,16,24,5300,26000
Intel,Pentium,,Gold G6400,2,4,4000,3000
AMD,Athlon,,3000G,2,4,3500,2000
Intel,Pentium,,Gold G6600,2,4,4300,3200
AMD,Athlon,,300GE,2,4,3400,2100
AMD,Athlon,,200GE,2,4,3200,2000
Intel,Pentium,,Gold G5600,2,4,3900,3000
Intel,Celeron,,G5900,2,2,3400,1500
AMD,Athlon,,3000U,2,4,2400,1800
Intel,Pentium,,Silver J5040,4,4,2800,2500
AMD,Athlon,,300U,2,4,2400,1500
Intel,Celeron,,G4930,2,2,3200,1200
AMD,Athlon,,240GE,2,4,3500,1800
Intel,Pentium,,Silver J5005,4,4,2800,2500
AMD,Athlon,,220GE,2,4,3400,1500
Intel,Celeron,,G5905,2,2,3800,1200
Intel,Celeron,,G4930T,2,2,2900,1000
Intel,Pentium,,Gold G5420,2,4,3800,2800
Intel,Celeron,,G5920,2,2,3700,1200
Intel,Core i9,12,12900K,16,24,5300,25000
AMD,Ryzen 9,5,5900HS,8,16,3300,21000
Intel,Core i7,11,11700KF,8,16,4900,18000
AMD,Ryzen 7,5,5800HS,8,16,3200,17500
Intel,Core i5,12,12600KF,10,16,4100,16500
AMD,Ryzen 5,5,5600G,6,12,3900,14000
Intel,Core i3,12,12100F,6,12,4100,9500
AMD,Ryzen 3,3,3300GE,4,8,3300,6500
Intel,Pentium,,Gold G6500,2,4,4300,3200
AMD,Athlon,,320GE,2,4,3400,2100
Intel,Xeon,,E-2278GE,8,16,2500,18500
AMD,Threadripper Pro,,5995WX,64,128,4000,50000
Intel,Xeon Platinum,,8358P,40,80,2700,36000
